Date,Close/Last,Volume,Open,High,Low
02/24/2025,50.97,56673860,50.99,51.405,50.68
02/21/2025,50.75,51789950,51.41,51.50,50.645
02/20/2025,51.39,47078880,52.11,52.15,51.035
02/19/2025,52.19,31748520,52.04,52.25,51.90
02/18/2025,52.17,33496810,51.88,52.20,51.745
02/14/2025,51.80,29574280,51.77,52.02,51.75
02/13/2025,51.70,36372210,51.50,51.77,51.28
02/12/2025,51.36,45473140,51.28,51.38,50.92
02/11/2025,51.54,45162870,51.33,51.64,51.02
02/10/2025,51.41,37921490,51.91,51.975,51.19
02/07/2025,51.82,40601440,52.17,52.26,51.78
02/06/2025,52.11,34355930,51.98,52.125,51.76
02/05/2025,51.68,34758570,51.36,51.69,51.135
02/04/2025,51.14,41742730,51.32,51.39,51.00
02/03/2025,51.26,77416230,50.75,51.395,50.4125
01/31/2025,51.47,40429470,51.83,51.97,51.435
01/30/2025,51.77,64250480,51.75,52.04,51.43
01/29/2025,51.28,43612190,51.18,51.74,51.17
01/28/2025,51.32,39885280,51.35,51.55,51.11
01/27/2025,51.41,61707420,50.76,51.44,50.62
01/24/2025,50.85,39088670,50.53,50.90,50.48
01/23/2025,50.70,32048850,50.49,50.79,50.48
01/22/2025,50.41,37226410,50.65,50.66,50.21
01/21/2025,50.65,33267470,50.40,50.71,50.385
01/17/2025,50.23,43693110,49.91,50.32,49.73
01/16/2025,49.81,33830430,49.46,49.845,49.455
01/15/2025,49.48,61176910,49.28,49.61,49.0099
01/14/2025,48.25,39353250,47.85,48.29,47.7449
01/13/2025,47.66,36002820,47.08,47.68,47.035
01/10/2025,47.32,53128710,48.10,48.14,47.15
01/08/2025,48.49,36422020,48.34,48.50,48.02
01/07/2025,48.33,57682700,48.65,48.76,48.115
01/06/2025,48.44,54289940,48.80,49.02,48.35
01/03/2025,48.59,25198140,48.49,48.62,48.075
01/02/2025,48.21,35879120,48.58,48.765,47.94
12/31/2024,48.33,25170530,48.40,48.57,48.16
12/30/2024,48.28,34819780,48.25,48.4955,47.86
12/27/2024,48.75,33852400,48.85,49.17,48.49
12/26/2024,49.11,20807210,48.77,49.13,48.74
12/24/2024,48.99,18350470,48.52,49.01,48.425
12/23/2024,48.42,43033310,48.06,48.455,47.87
12/20/2024,48.51,56066150,47.70,48.885,47.60
12/19/2024,47.80,63641040,48.17,48.53,47.79
12/18/2024,47.63,72399490,49.19,49.30,47.59
12/17/2024,49.10,46103330,49.26,49.27,48.9341
12/16/2024,49.45,35242760,49.57,49.63,49.355
12/13/2024,49.54,39160440,49.78,49.795,49.43
12/12/2024,49.58,23107260,49.93,49.97,49.58
12/11/2024,49.80,35035890,49.90,49.92,49.58
12/10/2024,49.70,38861790,49.75,49.98,49.385
12/09/2024,49.71,41998280,50.44,50.49,49.69
12/06/2024,50.40,23439350,50.40,50.57,50.2649
12/05/2024,50.41,33599280,50.34,50.67,50.30
12/04/2024,50.26,41017430,50.40,50.44,50.085
12/03/2024,50.45,46924280,51.13,51.13,50.45
12/02/2024,50.83,55483580,51.42,51.4893,50.70
11/29/2024,51.34,15178420,51.44,51.57,51.25
11/27/2024,51.26,31803720,51.23,51.62,51.205
11/26/2024,51.16,28418400,51.08,51.26,50.76
11/25/2024,51.06,47492550,51.01,51.245,50.86
11/22/2024,50.73,42050840,50.14,50.78,50.13
11/21/2024,50.17,50881770,49.79,50.3951,49.66
11/20/2024,49.54,33932480,49.89,49.92,49.295
11/19/2024,49.69,27014710,49.62,49.8799,49.42
11/18/2024,50.02,27146820,49.91,50.11,49.70
11/15/2024,49.87,40741500,49.64,50.01,49.61
11/14/2024,49.64,38252750,49.88,49.99,49.545
11/13/2024,49.77,31880680,49.84,50.1265,49.685
11/12/2024,49.74,58512360,49.87,49.94,49.59
11/11/2024,49.89,63654710,49.68,50.135,49.67
11/08/2024,49.19,60376530,49.10,49.4662,48.85
11/07/2024,48.75,70611370,49.44,49.44,48.66
11/06/2024,49.55,153473400,49.04,49.68,48.70
11/05/2024,46.71,35221760,46.32,46.73,46.23
11/04/2024,46.28,41705580,46.61,46.65,46.025
11/01/2024,46.64,40139910,46.63,47.00,46.52
10/31/2024,46.48,53417060,47.07,47.21,46.48
10/30/2024,47.13,28704330,46.98,47.43,46.94
10/29/2024,46.92,27930910,47.09,47.22,46.88
10/28/2024,47.21,31415880,46.87,47.2499,46.855
10/25/2024,46.63,25526480,47.34,47.42,46.52
10/24/2024,47.15,19617540,47.12,47.205,46.86
10/23/2024,47.11,20697250,47.10,47.22,46.88
10/22/2024,47.15,30018750,47.00,47.23,46.78
10/21/2024,47.24,26207440,47.54,47.65,47.15
10/18/2024,47.62,34279600,47.61,47.72,47.3501
10/17/2024,47.61,45823450,47.68,47.81,47.58
10/16/2024,47.48,44973700,47.08,47.50,46.99
10/15/2024,46.90,42356780,47.12,47.39,46.84
10/14/2024,46.80,35850840,46.59,46.85,46.46
10/11/2024,46.51,52850300,45.92,46.60,45.89
10/10/2024,45.63,34127390,45.82,45.86,45.44
10/09/2024,45.77,28334270,45.35,45.86,45.26
10/08/2024,45.35,28762950,45.26,45.46,45.18
10/07/2024,45.09,26599260,45.65,45.67,44.90
10/04/2024,45.65,40435850,45.33,45.69,45.15
10/03/2024,44.89,23545680,44.96,45.05,44.665
10/02/2024,45.13,37709430,45.06,45.23,44.83
10/01/2024,45.08,32703010,45.20,45.31,44.775
09/30/2024,45.32,23599210,45.04,45.34,44.84
09/27/2024,45.15,23226120,45.12,45.437,45.05
09/26/2024,45.02,31445230,44.92,45.11,44.77
09/25/2024,44.79,32546930,45.08,45.14,44.65
09/24/2024,45.06,40341430,45.30,45.30,44.895
09/23/2024,45.44,31615260,45.49,45.67,45.36
09/20/2024,45.66,48699180,45.59,45.66,45.335
09/19/2024,45.69,46457690,45.65,45.81,45.34
09/18/2024,45.19,41783870,45.35,45.69,45.09
