Date,Close/Last,Volume,Open,High,Low
02/24/2025,134.23,10876120,135.36,135.60,134.05
02/21/2025,134.84,14561320,138.00,138.00,134.31
02/20/2025,137.86,9306742,138.61,138.63,136.8707
02/19/2025,138.77,9454236,138.29,139.08,138.07
02/18/2025,138.63,7227047,138.02,138.89,137.88
02/14/2025,137.55,5800023,138.08,138.25,137.385
02/13/2025,137.89,8539145,137.74,138.25,137.31
02/12/2025,137.75,7694533,136.63,138.24,136.41
02/11/2025,138.61,5787806,138.10,138.68,137.7003
02/10/2025,138.56,5446353,138.22,138.61,137.63
02/07/2025,137.33,10408870,138.37,138.545,137.05
02/06/2025,137.74,7368336,137.39,137.88,136.79
02/05/2025,137.12,8179152,137.50,137.74,136.155
02/04/2025,137.02,7577294,137.11,137.75,136.72
02/03/2025,136.98,13906840,135.93,137.97,135.33
01/31/2025,138.35,10145760,139.29,139.74,138.19
01/30/2025,139.33,8169865,137.59,139.585,137.59
01/29/2025,137.79,9101061,138.35,139.23,137.71
01/28/2025,138.26,8900229,139.51,139.63,137.85
01/27/2025,139.18,10909290,138.93,139.51,138.495
01/24/2025,141.07,6457675,141.60,141.645,140.79
01/23/2025,141.67,7353419,141.14,141.8965,140.56
01/22/2025,140.25,7206044,141.02,141.17,140.185
01/21/2025,140.58,12177720,138.96,140.58,138.96
01/17/2025,137.75,6869566,137.81,138.265,137.2075
01/16/2025,136.93,6556511,135.66,137.13,135.51
01/15/2025,135.29,9184173,136.43,136.64,135.045
01/14/2025,134.44,6746834,133.81,134.64,133.21
01/13/2025,132.87,8365618,130.59,132.95,130.445
01/10/2025,131.33,9997303,132.13,132.25,131.05
01/08/2025,132.82,8277709,132.05,132.95,131.245
01/07/2025,132.30,6841232,132.73,133.16,131.85
01/06/2025,132.43,6899931,133.40,133.825,132.185
01/03/2025,132.72,7676135,131.76,133.00,131.33
01/02/2025,131.30,7227799,132.73,132.95,130.71
12/31/2024,131.76,6010140,132.33,132.53,131.36
12/30/2024,131.92,8725559,131.81,132.535,130.64
12/27/2024,133.26,6060009,133.49,134.26,132.485
12/26/2024,134.26,4749605,133.85,134.59,133.51
12/24/2024,134.16,2972912,132.98,134.215,132.73
12/23/2024,133.12,8022266,132.99,133.325,132.015
12/20/2024,133.82,11849880,132.14,134.81,131.81
12/19/2024,132.27,12507790,133.08,134.05,132.22
12/18/2024,132.44,13428140,136.48,136.785,132.35
12/17/2024,136.29,6861679,136.96,137.27,135.965
