Date,Close/Last,Volume,Open,High,Low
02/24/2025,231.51,3723778,235.78,236.44,231.22
02/21/2025,234.87,4528792,241.48,241.58,234.75
02/20/2025,241.41,2993874,241.95,242.27,238.86
02/19/2025,242.18,2802146,241.89,243.14,240.20
02/18/2025,242.16,3011983,241.21,242.19,240.09
02/14/2025,239.97,2278612,238.96,240.165,238.52
02/13/2025,239.16,3914785,236.24,239.31,235.91
02/12/2025,235.82,4277830,233.00,236.0985,232.74
02/11/2025,236.33,3228283,234.91,237.28,234.75
02/10/2025,236.22,3027083,234.66,236.81,234.59
02/07/2025,232.82,4276633,235.78,236.91,232.04
02/06/2025,234.83,3404037,234.19,235.31,233.15
02/05/2025,234.19,2699042,231.19,234.24,230.46
02/04/2025,230.98,4185642,228.48,231.34,228.40
02/03/2025,227.70,6876435,225.70,229.0899,224.495
01/31/2025,230.81,5372314,234.33,235.73,230.19
01/30/2025,232.17,4420135,231.33,232.97,229.74
01/29/2025,231.74,4525003,233.18,233.29,229.49
01/28/2025,233.64,5630339,229.11,234.16,226.69
01/27/2025,227.57,10352760,228.58,230.975,225.47
01/24/2025,239.30,3303802,242.58,242.58,238.525
01/23/2025,241.82,3802235,239.53,241.87,239.30
01/22/2025,241.39,5121877,239.25,241.95,238.91
01/21/2025,236.06,3372076,234.89,236.64,233.2601
01/17/2025,234.11,3371692,234.66,234.94,233.08
01/16/2025,230.50,2684261,234.18,234.33,230.45
01/15/2025,232.29,5232653,230.87,232.97,230.11
01/14/2025,227.76,3610218,228.92,229.545,225.95
01/13/2025,227.16,5327974,225.10,227.32,224.45
01/10/2025,228.78,5832896,231.42,231.46,227.43
01/08/2025,233.88,5011895,234.50,234.54,231.63
01/07/2025,233.96,5003649,240.00,240.00,233.14
01/06/2025,238.75,4487661,238.44,241.062,237.81
01/03/2025,235.75,4560565,233.39,235.9999,232.93
01/02/2025,231.97,6385156,234.36,235.02,229.7801
12/31/2024,232.52,4690615,235.11,235.27,231.76
