Date,Close/Last,Volume,Open,High,Low
02/24/2025,147.62,7559370,146.59,148.22,146.27
02/21/2025,146.43,8646974,145.48,147.14,145.34
02/20/2025,147.22,6264773,146.19,147.30,146.10
02/19/2025,146.40,6296079,144.53,146.4399,144.50
02/18/2025,144.52,11366850,143.92,144.89,143.84
02/14/2025,144.80,5299228,146.50,146.70,144.80
02/13/2025,146.39,6293261,146.11,146.71,145.16
02/12/2025,145.82,7572280,145.68,146.61,145.37
02/11/2025,146.03,6635040,145.88,146.32,145.44
02/10/2025,146.30,7374356,146.60,146.65,145.46
02/07/2025,146.43,11199690,147.33,147.92,146.32
02/06/2025,147.12,12422220,148.15,148.46,146.90
02/05/2025,148.45,10042280,147.40,148.715,147.10
02/04/2025,147.04,11762050,145.82,147.20,145.59
02/03/2025,147.44,13001510,145.98,148.1599,145.94
01/31/2025,146.87,9213355,147.58,148.5899,146.815
01/30/2025,147.34,7705191,146.25,147.745,146.24
01/29/2025,145.66,8159200,146.09,146.58,145.30
01/28/2025,146.52,9686428,147.54,147.74,146.48
01/27/2025,147.55,12311300,145.10,147.58,144.97
01/24/2025,144.31,8127872,143.44,144.61,143.27
01/23/2025,144.08,8032946,142.57,144.095,141.87
01/22/2025,142.18,8189904,141.80,142.63,141.13
01/21/2025,142.50,7257829,140.92,142.51,140.90
01/17/2025,140.18,7668273,140.94,141.40,140.18
01/16/2025,141.13,8512136,140.13,141.34,139.58
01/15/2025,140.57,11388430,140.39,141.24,139.77
01/14/2025,140.00,10277830,141.27,141.27,138.88
01/13/2025,141.46,9422242,139.79,141.82,139.67
01/10/2025,139.64,10344050,139.95,140.95,139.355
01/08/2025,140.43,7827396,139.97,140.635,138.69
01/07/2025,139.71,12639740,139.36,140.93,139.36
01/06/2025,139.02,8653497,138.90,140.04,138.56
01/03/2025,138.96,8289345,137.89,139.3499,137.74
01/02/2025,137.61,8973032,138.26,138.77,137.12
12/31/2024,137.57,6627203,137.58,138.12,136.785
12/30/2024,137.24,6890556,138.15,138.15,136.73
12/27/2024,138.95,5948122,138.83,139.81,138.36
12/26/2024,139.60,4720422,138.83,139.7199,138.68
12/24/2024,139.32,3139251,138.63,139.325,138.04
12/23/2024,138.75,8050472,137.60,138.945,136.99
12/20/2024,138.00,12098410,137.49,139.295,137.05
12/19/2024,136.28,11929340,137.06,137.80,135.945
12/18/2024,137.32,14448060,139.12,140.04,137.225
12/17/2024,139.21,10280070,138.70,140.24,138.60
12/16/2024,139.31,9476630,140.88,141.65,139.20
